Release Date,Series,Set Name,Set Code,Card Name,Card Number,Set Total,Rarity,Price,Price Source,Previous Price,Card ID,Picture URL,Set Logo,Set Symbol,Last Checked,Last Priced,Supertype,Subtypes,PSA10 Slab Price,Is 1st Edition,Price Volatile
1996/10/15,Base,PMCG Promos (Japanese),JP,Jigglypuff (Asobikata '96),001,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-001,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Pikachu (Asobikata '96),002,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-002,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Flying Pikachu (CoroCoro '97),003,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-003,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Arcanine (Toyota '97),004,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-004,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Pikachu (CoroCoro '96),005,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-005,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Mew (CoroCoro '97),006,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-006,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Mewtwo (CoroCoro '97),007,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-007,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Mewtwo (Fan Book '97),008,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-008,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Slowpoke (Playmat '97),009,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-009,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Electabuzz (Card File '97),010,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-010,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Surfing Pikachu (CoroCoro '97),011,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-011,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Surfing Pikachu (JR '97),012,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-012,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Dark Persian (Fan Club '97),013,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-013,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Pikachu (Toyota '97),014,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-014,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Mewtwo (WHF Sheet '97),015,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-015,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Mew (WHF Sheet '97),016,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-016,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Meowth (CoroCoro '97),017,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-017,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Hungry Snorlax (Nintendo 64 '97),018,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-018,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Cool Porygon (Nintendo 64 '97),019,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-019,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Blastoise (Trade Please '98),020,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-020,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Charizard (Trade Please '98),021,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-021,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Venusaur (Trade Please '98),022,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-022,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Brock's Onix (CoroCoro '98),023,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-023,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Misty's Staryu (CoroCoro '98),024,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-024,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Jynx (CoroCoro '98),025,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-025,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Farfetch’d (CoroCoro '98),026,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-026,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Cubone (CoroCoro '98),027,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-027,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Kangaskhan (Garura Tourney '98),028,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-028,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Erika's Dratini (CoroCoro '98),029,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-029,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Lt. Surge Electabuzz (CoroCoro '98),030,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-030,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Lt. Surge Jolteon (CoroCoro '98),031,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-031,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Brock's Mankey (CoroCoro '98),032,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-032,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Misty's Tentacool (CoroCoro '98),033,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-033,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Erika's Bulbasaur (CoroCoro '98),034,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-034,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Diglett (Asobikata '98),035,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-035,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Dugtrio (Asobikata '98),036,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-036,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,_____'s Pikachu (All Card Calendar '98),037,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-037,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Dragonite (ANA '98),038,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-038,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Flying Pikachu (ANA '98),039,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-039,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Dragonite (Card GB '98),040,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-040,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Venusaur (Card GB '99),041,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-041,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Meowth (CoroCoro '99),042,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-042,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Sabrina's Abra (CoroCoro '99),043,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-043,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Blaine's Growlithe (CoroCoro '99),044,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-044,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Alakazam (Communication Evolution Campaign '99),045,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-045,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Gengar (Communication Evolution Campaign '99),046,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-046,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Machamp (Communication Evolution Campaign '99),047,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-047,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Omastar (Communication Evolution Campaign '99),048,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-048,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Golem (Communication Evolution Campaign '99),049,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-049,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Pikachu (Card Trainers '99),050,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-050,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Mankey (How I Became a Pokémon Card '99),051,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-051,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Togepi (CoroCoro '99),052,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-052,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Marill (CoroCoro '99),053,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-053,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Articuno (ANA '99),054,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-054,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Flying Pikachu (ANA '99),055,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-055,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Giovanni's Nidoking (CoroCoro '99),056,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-056,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Hama-chan's Slowking (CoroCoro '99),057,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-057,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
1996/10/15,Base,PMCG Promos (Japanese),JP,Zapdos (ANA '99),058,,Rare Holo,N/A,,N/A,jp-pmcg-promos-pokemon-japan-058,N/A,N/A,N/A,2026-09-24,,Pokémon,Basic,,,
